id,password,strength
157,qwerty337,weak
158,sunshine295,weak
159,coffee_1,medium
160,admin258,weak
161,iloveyou885,weak
162,football_99,medium
163,letmein530,weak
164,sunshine640,weak
165,password208,weak
166,qwerty949,weak
167,sunshine124,weak
168,dragon818,weak
169,qwerty318,weak
170,iloveu1231,medium
171,123456472,weak
172,L2Mu@=sPD(M%$u,strong
173,coffee$x,medium
174,password289,weak
175,purple_x,medium
176,$HKz5C(%=sD$FyJ*C+8,strong
177,baseball1231,medium
178,dragon339,weak
179,h*bk%_f7uVEgyZO-V^L,strong
180,iloveu20201,medium
181,computer!x,medium
182,123456778,weak
183,purple202099,medium
184,welcome925,weak
185,admin815,weak
186,admin383,weak
187,letmein543,weak
188,qwerty174,weak
189,dragon891,weak
190,letmein509,weak
191,rWIY&JvPf)+w_0,strong
192,welcome203,weak
193,iCBw1b@Ea$7_*4@&6r8,strong
194,letmein635,weak
195,qwerty643,weak
196,password316,weak
197,football_99,medium
198,football$99,medium
199,baseball!1,medium
200,computer_x,medium
201,t!K94zi_k_$3=_,strong
202,computer202099,medium
203,monkey126,weak
204,welcome598,weak
205,admin110,weak
206,coffee2020x,medium
207,yUXWJ1Xidc+irODC-0PS,strong
208,coffee202099,medium
209,computer2020x,medium
210,sunshine455,weak
211,h0P=BEoj#IYWTb7sj,strong
212,football_1,medium
213,purple!99,medium
214,purple_1,medium
215,qwerty133,weak
216,purple!1,medium
217,football!1,medium
218,letmein602,weak
219,qwerty271,weak
220,iloveyou538,weak
221,123456487,weak
222,admin525,weak
223,coffee_1,medium
224,3*YwWc+#Gi2H,strong
225,UeuWPy+OIUh1#X62q,strong
226,letmein423,weak
227,sunshine408,weak
228,123456320,weak
229,welcome383,weak
230,f@hh49QSQzjAY5$2_TA,strong
231,baseball!x,medium
232,123456358,weak
233,computer202099,medium
234,purple123x,medium
235,b(@un1xza%REkWc4qFzC,strong
236,purple_x,medium
237,password159,weak
238,dragon50,weak
239,computer123x,medium
240,dragon452,weak
241,letmein773,weak
242,computer1231,medium
243,dragon498,weak
244,computer20201,medium
245,dragon56,weak
246,welcome968,weak
247,qwerty782,weak
248,admin122,weak
249,iloveyou179,weak
250,monkey720,weak
251,monkey853,weak
252,computer202099,medium
253,HIfxGEWwE_n-,strong
254,admin90,weak
255,123456249,weak
256,iloveyou536,weak
257,welcome763,weak
258,admin797,weak
259,monkey648,weak
260,monkey198,weak
261,A-Xlhtnl5f-VJQSZ^,strong
262,iloveu$x,medium
263,sunshine69,weak
264,welcome815,weak
265,password360,weak
266,computer12399,medium
267,admin851,weak
268,123456629,weak
269,coffee123x,medium
270,purple202099,medium
271,yKleh&A2MnsHHNm,strong
272,welcome396,weak
273,admin695,weak
274,purple$1,medium
275,monkey694,weak
276,welcome741,weak
277,zSkA_1DT)xC89Y,strong
278,flower_1,medium
279,coffee_99,medium
280,welcome184,weak
281,-Krkf#h6@^cz6jCm@,strong
282,purple!x,medium
283,iloveyou373,weak
284,baseball123x,medium
285,sunshine239,weak
286,computer1231,medium
287,dragon451,weak
288,welcome796,weak
289,monkey428,weak
290,8ktW%Qh##v5u&lH,strong
291,!^(FECDgryh2zlc,strong
292,0k1Iagt@P3OivwdF8Ii,strong
293,bNskGUsFYg=fNM+QDJW=,strong
294,password365,weak
295,computer!x,medium
296,football_x,medium
297,baseball202099,medium
298,purple!x,medium
299,sunshine646,weak
300,qwerty64,weak
301,coffee202099,medium
302,letmein907,weak
303,welcome527,weak
304,monkey484,weak
305,letmein292,weak
306,password886,weak
307,computer202099,medium
308,iloveyou761,weak
309,iloveyou347,weak
310,0B8ugGG+nwhywH2mHH3,strong
311,u=-fWB8Z-kU7cf7BDR,strong
312,flower12399,medium
313,123456587,weak
314,admin407,weak
315,welcome255,weak
316,3LDQttH+v*Lj,strong
317,n2+9_=Y1Pwwl11nBr=8,strong
318,sunshine26,weak
319,dragon377,weak
320,monkey132,weak
321,football202099,medium
322,sunshine538,weak
323,iloveyou843,weak
324,baseball$x,medium
325,sunshine696,weak
326,baseball_x,medium
327,purple!99,medium
328,purple20201,medium
329,computer!1,medium
330,letmein354,weak
331,&#tWPjxOMm)lY2T#Q!cd,strong
332,iloveu$x,medium
333,dragon426,weak
334,football123x,medium
335,flower$99,medium
336,iloveyou304,weak
337,password161,weak
338,sunshine475,weak
339,dragon147,weak
340,admin751,weak
341,=jCQyJushwDUs$myR,strong
342,qwerty510,weak
343,Lxb)M_qAdL^XJO#G^36,strong
344,iloveyou52,weak
345,baseball$x,medium
346,iloveyou516,weak
347,monkey286,weak
348,iloveu_1,medium
349,123456403,weak
350,admin571,weak
351,pMMdkzKIUNyUm+,strong
352,computer_99,medium
353,iloveu_99,medium
354,computer1231,medium
355,123456426,weak
356,purple2020x,medium
357,dragon591,weak
358,password597,weak
359,monkey644,weak
360,purple1231,medium
361,baseball2020x,medium
362,oHFFpMUJ#31NQ,strong
363,Nxn*AA62W0UosQr_wvp,strong
364,computer12399,medium
365,purple$99,medium
366,monkey388,weak
367,!-9wv2AHtKpO(0kUSs,strong
368,iloveu!x,medium
369,123456423,weak
370,sunshine102,weak
371,baseball2020x,medium
372,E)%Kp_yX*gRO2),strong
373,F@(c@7o4%vcwT(,strong
374,sunshine656,weak
375,coffee!x,medium
376,letmein828,weak
377,qwerty748,weak
378,welcome735,weak
379,admin809,weak
380,letmein179,weak
381,flower12399,medium
382,football123x,medium
383,qwerty488,weak
384,letmein6,weak
385,letmein457,weak
386,computer$x,medium
387,football$x,medium
388,letmein63,weak
389,coffee$1,medium
390,monkey945,weak
391,0W)Bq-KI+C1*58!5,strong
392,iloveu2020x,medium
393,admin79,weak
394,ePMRlyNipSgM9,strong
395,monkey425,weak
396,password572,weak
397,welcome740,weak
398,welcome836,weak
399,letmein592,weak
400,iloveyou352,weak
401,iloveu20201,medium
402,cF66=XF+D%&CZYOXAnO,strong
403,flower!1,medium
404,computer123x,medium
405,coffee_99,medium
406,baseball12399,medium
407,letmein959,weak
408,cYU)^sfTHZ%sd,strong
409,monkey222,weak
410,purple20201,medium
411,computer!x,medium
412,iloveu_x,medium
413,baseball$1,medium
414,qwe-%*VGL_)Z7yFlC5J#,strong
415,qwerty825,weak
416,password575,weak
417,iloveyou570,weak
418,coffee!99,medium
419,123456944,weak
420,admin94,weak
421,purple!1,medium
422,dragon617,weak
423,123456192,weak
424,iloveu_1,medium
425,admin310,weak
426,qo445*01Esyv,strong
427,admin315,weak
428,monkey903,weak
429,123456822,weak
430,5ypxd$4bQS2worRsP)z,strong
431,coffee12399,medium
432,admin173,weak
433,monkey500,weak
434,monkey657,weak
435,c#)Y6F#r1aMCUYUKLaPa,strong
436,computer_99,medium
437,iloveyou825,weak
438,ihloO9uECEQ+rZ,strong
439,flower20201,medium
440,iloveyou565,weak
441,password719,weak
442,sunshine865,weak
443,admin579,weak
444,&*r&0Ru(0vPYn,strong
445,_S52Efms@D&z,strong
446,baseball2020x,medium
447,computer20201,medium
448,123456348,weak
449,iloveu_99,medium
450,cu+LB)GZYgV82gl2W,strong
451,computer$1,medium
452,welcome455,weak
453,welcome104,weak
454,qwerty441,weak
455,monkey524,weak
456,password91,weak
457,123456611,weak
458,computer1231,medium
459,iloveyou797,weak
460,monkey926,weak
461,RmCkwLeHGKftsVT,strong
462,123456138,weak
463,iloveyou340,weak
464,coffee$99,medium
465,dragon139,weak
466,dragon970,weak
467,coffee$1,medium
468,w0LRsC!DiQTPZP-J1,strong
469,welcome851,weak
470,purple123x,medium
471,welcome247,weak
472,qwerty732,weak
473,iloveyou75,weak
474,dragon490,weak
475,iloveu_x,medium
476,password809,weak
477,T*isYmUQXX_z8ihq4Q0q,strong
478,sunshine790,weak
479,flower_1,medium
480,password494,weak
481,iloveyou942,weak
482,@3AA7NAh2Ifd2,strong
483,admin663,weak
484,qwerty952,weak
485,NPzGJ8VoXE4^IGa,strong
486,welcome770,weak
487,purple2020x,medium
488,monkey191,weak
489,letmein468,weak
490,sunshine540,weak
491,TUSA#U91wUgkixn0M,strong
492,qwerty588,weak
493,qwerty498,weak
494,flower!x,medium
495,welcome143,weak
496,sunshine634,weak
497,admin974,weak
498,qwerty199,weak
499,iloveu_x,medium
500,sunshine425,weak
501,coffee1231,medium
502,password814,weak
503,computer202099,medium
504,welcome172,weak
505,iloveu123x,medium
506,iloveu202099,medium
507,purple$x,medium
508,football123x,medium
509,iloveyou104,weak
510,flower!99,medium
511,IA!H+6s9SA2W,strong
512,qwerty803,weak
513,letmein824,weak
514,admin545,weak
515,monkey172,weak
516,welcome296,weak
517,purple_x,medium
518,baseball1231,medium
519,1klys#DkWVCf86,strong
520,welcome711,weak
521,ILS%#h_W0#8E_!Lyv,strong
522,baseball_99,medium
523,flower20201,medium
524,sunshine16,weak
525,qwerty451,weak
526,iloveyou207,weak
527,^w%%hBgYXdV35G,strong
528,1234561,weak
529,123456135,weak
530,iloveu1231,medium
531,admin836,weak
532,iloveyou710,weak
533,123456234,weak
534,123456105,weak
535,welcome140,weak
536,qwerty656,weak
537,fQUmAq4*UHq&kj,strong
538,computer12399,medium
539,baseball$x,medium
540,monkey615,weak
541,iloveu$x,medium
542,welcome210,weak
543,iloveu!x,medium
544,password802,weak
545,LiLTO=+(k$RBZ5-,strong
546,football_1,medium
547,letmein40,weak
548,MVMF1gOUvxMp9ODW@Z,strong
549,iloveyou747,weak
550,egHIUx44j11m-N7,strong
551,baseball$1,medium
552,purple$x,medium
553,zGNt=VLMe$ml,strong
554,iloveu20201,medium
555,football20201,medium
556,sunshine372,weak
557,qwerty183,weak
558,Q*4FyF2ufCM&,strong
559,monkey47,weak
560,%$6xgICw74sB_,strong
561,3P8l(bPW0az5C4x,strong
562,letmein429,weak
563,password995,weak
564,h(&N1C=ghk!fRH_r,strong
565,admin948,weak
566,flower$99,medium
567,letmein76,weak
568,7SlmJEO_pxujl0,strong
569,flower_1,medium
570,admin151,weak
571,letmein991,weak
572,monkey50,weak
573,computer!1,medium
574,QPhh8je7qpE0)gS*f+p,strong
575,purple!1,medium
576,j)d(G3LDGA*uHlUUX,strong
577,monkey490,weak
578,welcome392,weak
579,letmein658,weak
580,s+PbD2K7AQyubTc9v9JB,strong
581,baseball!1,medium
582,letmein272,weak
583,purple20201,medium
584,purple12399,medium
585,nT91*c1-QQo+^L,strong
586,sunshine38,weak
587,letmein616,weak
588,monkey489,weak
589,dragon206,weak
590,computer!99,medium
591,qwerty600,weak
592,baseball2020x,medium
593,C)Ehwkl-8_Xn_,strong
594,iloveu$1,medium
595,purple!99,medium
596,welcome130,weak
597,password971,weak
598,iloveu123x,medium
599,dragon325,weak
600,WhLzfAyW_!Y3zap,strong
601,computer$1,medium
602,football12399,medium
603,baseball12399,medium
604,PhK$X0mf#wy-fmC3P,strong
605,z=^1GXUGez=FQ,strong
606,uvsdR@lBGwYTpbmwg#xE,strong
607,welcome93,weak
608,coffee!99,medium
609,odHu@Ql0hY9F5reDN,strong
610,RrwE#cRNR=l-I-mqodf,strong
611,baseball!x,medium
612,12345689,weak
613,iloveyou565,weak
614,welcome532,weak
615,password805,weak
616,iloveu_99,medium
617,qwerty151,weak
618,iloveu20201,medium
619,football$x,medium
620,uXRJnEUZEE%0dKuCz8,strong
621,sunshine878,weak
622,football!1,medium
623,sunshine792,weak
624,computer123x,medium
625,baseball1231,medium
626,45$!NmxMk#%co@@sI*,strong
627,computer$99,medium
628,flower2020x,medium
629,admin500,weak
630,baseball123x,medium
631,computer!99,medium
632,flower202099,medium
633,password166,weak
634,$XZuFb76a*XTat9,strong
635,welcome433,weak
636,IqwNVSa+_@QTv0Kzv,strong
637,welcome267,weak
638,flower$1,medium
639,letmein921,weak
640,dragon413,weak
641,flower!x,medium
642,sunshine302,weak
643,iloveyou414,weak
644,password597,weak
645,iloveu!99,medium
646,baseball_x,medium
647,flower$x,medium
648,qwerty860,weak
649,iloveu!99,medium
650,qwerty758,weak
651,monkey781,weak
652,Xqq%F^CSJieWSVJoj,strong
653,iloveu$99,medium
654,qwerty140,weak
655,FR&Iy27LVnWau5m6L,strong
656,football!x,medium
657,iloveyou413,weak
658,sunshine392,weak
659,monkey204,weak
660,football$x,medium
661,password641,weak
662,baseball$99,medium
663,iloveyou515,weak
664,baseball20201,medium
665,welcome466,weak
666,iloveu_99,medium
667,qwerty350,weak
668,Bo-*Er3j3SmBXc%tOd+,strong
669,flower20201,medium
670,coffee12399,medium
671,welcome485,weak
672,baseball202099,medium
673,123456678,weak
674,iloveu_x,medium
675,123456523,weak
676,football$1,medium
677,coffee!x,medium
678,welcome851,weak
679,baseball$x,medium
680,qwerty40,weak
681,baseball12399,medium
682,password687,weak
683,123456855,weak
684,coffee!1,medium
685,football202099,medium
686,coffee$99,medium
687,123456832,weak
688,password872,weak
689,admin436,weak
690,football20201,medium
691,y^-u3CAiEI@0KG,strong
692,i0e)mFS8ZnCBc0,strong
693,baseball12399,medium
694,iloveyou451,weak
695,welcome670,weak
696,monkey785,weak
697,flower_1,medium
698,N0UG3KYWl!^Ua)MJL,strong
699,sunshine328,weak
700,welcome51,weak
701,iloveu12399,medium
702,football12399,medium
703,coffee202099,medium
704,123456509,weak
705,football202099,medium
706,monkey562,weak
707,123456810,weak
708,iloveu$x,medium
709,flower12399,medium
710,password836,weak
711,sunshine339,weak
712,iloveu_99,medium
713,computer1231,medium
714,letmein2,weak
715,welcome560,weak
716,flower20201,medium
717,k22iUo(DI72iF(@S6IY,strong
718,_a3QGS(7*0n9hX,strong
719,computer_99,medium
720,dragon937,weak
721,baseball$99,medium
722,IkF14w1$2)WpVwAZ,strong
723,M0yiAKRYF4@v#9,strong
724,football1231,medium
725,password204,weak
726,qwerty293,weak
727,baseball2020x,medium
728,baseball_1,medium
729,sunshine104,weak
730,flower_1,medium
731,iloveu1231,medium
732,purple$x,medium
733,coffee12399,medium
734,_e4p%$HrW1BS4o3oI,strong
735,onNCGQjStz1ll,strong
736,password792,weak
737,LRB7yqnfMFOgqqzB,strong
738,dragon543,weak
739,monkey843,weak
740,flower20201,medium
741,coffee!x,medium
742,iloveu!1,medium
743,computer1231,medium
744,monkey741,weak
745,monkey841,weak
746,iloveu_99,medium
747,welcome919,weak
748,computer_1,medium
749,_6OVqVq0@p!%4H,strong
750,football!1,medium
751,admin38,weak
752,password182,weak
753,iloveu2020x,medium
754,computer12399,medium
755,iloveyou443,weak
756,iloveyou689,weak
757,password656,weak
758,football_1,medium
759,football$x,medium
760,welcome621,weak
761,sunshine390,weak
762,password485,weak
763,letmein139,weak
764,purple_99,medium
765,w^_$X-a%kdRDPg,strong
766,admin216,weak
767,monkey145,weak
768,letmein631,weak
769,baseball20201,medium
770,iloveu2020x,medium
771,monkey74,weak
772,123456256,weak
773,dragon498,weak
774,jXhV&yIUxSQByGasq,strong
775,coffee$99,medium
776,admin898,weak
777,sunshine367,weak
778,coffee_1,medium
779,dragon83,weak
780,purple!x,medium
781,123456744,weak
782,password869,weak
783,football_x,medium
784,dragon217,weak
785,t^PXlD^S$kMgBas_=Z5k,strong
786,dragon971,weak
787,purple!x,medium
788,computer20201,medium
789,baseball202099,medium
790,password684,weak
791,admin397,weak
792,sunshine902,weak
793,admin105,weak
794,iloveu$x,medium
795,monkey583,weak
796,iloveyou374,weak
797,purple2020x,medium
798,letmein528,weak
799,admin498,weak
800,iloveu2020x,medium
801,mfWqoB2ir92KKqm@bdR,strong
802,monkey40,weak
803,etn-TQb2YvgI+$,strong
804,iloveyou615,weak
805,dragon840,weak
806,iloveu_99,medium
807,admin944,weak
808,dragon70,weak
809,iloveyou135,weak
810,letmein535,weak
811,0!Un&T%O5hY&Oa)ZGF%1,strong
812,sunshine808,weak
813,computer_x,medium
814,Gt6*gTPta4aNN,strong
815,letmein704,weak
816,coffee$1,medium
817,dragon259,weak
818,monkey433,weak
819,iloveu$x,medium
820,letmein423,weak
821,iloveu1231,medium
822,monkey495,weak
823,welcome591,weak
824,iloveyou753,weak
825,123456765,weak
826,qwerty102,weak
827,iloveyou804,weak
828,monkey628,weak
829,flower20201,medium
830,password823,weak
831,qwerty482,weak
832,gtCU3(EXv_e6nLa#(N,strong
833,dragon522,weak
834,baseball_1,medium
835,computer!x,medium
836,qwerty88,weak
837,AESN4fgv@*A_vUo(Rt,strong
838,123456572,weak
839,welcome348,weak
840,-%9R0_Q65_IJScifW+Zr,strong
841,admin528,weak
842,flower$1,medium
843,iloveyou689,weak
844,computer2020x,medium
845,xqRn4(o4rsur@@B7jf-,strong
846,password782,weak
847,#Cx&%Run6ME5,strong
848,monkey818,weak
849,monkey33,weak
850,coffee!99,medium
851,I0aqSyUtPsJUBLq1C#vn,strong
852,dragon702,weak
853,123456738,weak
854,letmein568,weak
855,iloveyou200,weak
856,qwerty484,weak
857,baseball12399,medium
858,monkey546,weak
859,purple12399,medium
860,dragon48,weak
861,qwerty61,weak
862,welcome487,weak
863,football123x,medium
864,admin368,weak
865,purple$99,medium
866,123456359,weak
867,RXO=vyM6HfUJ-$W,strong
868,VR#fmrywuWuH$BS_Fn,strong
869,letmein677,weak
870,123456215,weak
871,12345697,weak
872,sunshine561,weak
873,iloveyou536,weak
874,football202099,medium
875,football12399,medium
876,welcome453,weak
877,baseball_1,medium
878,admin881,weak
879,J%)Pk-OSI4%HWO*Krgx,strong
880,qwerty310,weak
881,monkey834,weak
882,baseball$99,medium
883,password704,weak
884,w68T8Po^Hs2X!qgVN8U,strong
885,computer$x,medium
886,purple$99,medium
887,123456186,weak
888,123456652,weak
889,sunshine278,weak
890,coffee!99,medium
891,password992,weak
892,baseball202099,medium
893,sunshine744,weak
894,123456154,weak
895,letmein350,weak
896,sunshine380,weak
897,password338,weak
898,qwerty57,weak
899,iloveyou73,weak
900,baseball!99,medium
901,purple20201,medium
902,D=s+p3hYpD_)m34,strong
903,football$99,medium
904,baseball$1,medium
905,_rGb8SEs_S00l6s,strong
906,dragon346,weak
907,eW18jr=759Ho,strong
908,computer!99,medium
909,1QPLRPyJ$T$mOI!PI6M,strong
910,football_99,medium
911,baseball$x,medium
912,monkey838,weak
913,monkey699,weak
914,monkey157,weak
915,computer123x,medium
916,123456535,weak
917,football!1,medium
918,iocWDLVSdq2a*X(,strong
919,coffee202099,medium
920,coffee$x,medium
921,dragon272,weak
922,flower202099,medium
923,letmein983,weak
924,football!x,medium
925,letmein538,weak
926,iloveu!x,medium
927,coffee2020x,medium
928,flower123x,medium
929,football!1,medium
930,iloveu$x,medium
931,dragon453,weak
932,P+#FW!ysPCP4BI-ac,strong
933,password530,weak
934,welcome6,weak
935,letmein219,weak
936,6)!*MRRhIlu^,strong
937,welcome830,weak
938,dragon409,weak
939,baseball2020x,medium
940,sunshine177,weak
941,dragon839,weak
942,c9C7(z%H(j64#(WW,strong
943,monkey42,weak
944,dragon153,weak
945,letmein156,weak
946,iloveyou994,weak
947,dragon589,weak
948,baseball12399,medium
949,baseball!99,medium
950,dragon763,weak
951,iloveyou268,weak
952,monkey444,weak
953,baseball!99,medium
954,coffee123x,medium
955,iloveu_x,medium
956,baseball202099,medium
957,computer_1,medium
958,iloveyou433,weak
959,letmein328,weak
960,password788,weak
961,admin631,weak
962,purple123x,medium
963,password946,weak
964,baseball$1,medium
965,purple20201,medium
966,baseball_1,medium
967,b0iIbpOpNtK3k1bS,strong
968,football$1,medium
969,letmein808,weak
970,computer202099,medium
971,football202099,medium
972,flower$1,medium
973,iloveyou236,weak
974,=hx$OoMI(bsOzDlAAVr=,strong
975,purple2020x,medium
976,iloveyou911,weak
977,)-rzDk3NZ%0F,strong
978,coffee$x,medium
979,monkey134,weak
980,qwerty594,weak
981,purple!1,medium
982,monkey931,weak
983,qwerty671,weak
984,yQ-iy%36%FFH(^,strong
985,lojb=UUUTrbg7k#J,strong
986,baseball12399,medium
987,qwerty197,weak
988,iloveyou782,weak
989,-qZppn-HU0$^G6U!,strong
990,coffee_x,medium
991,iloveu_x,medium
992,NI!d+NE3QNVd,strong
993,iloveyou905,weak
994,welcome472,weak
995,welcome627,weak
996,&JXgMnS^PDybI&&^gyX2,strong
997,12345693,weak
998,sunshine649,weak
999,monkey724,weak
1000,monkey626,weak
1001,Pdmz%$mk6dx3_vn&-a,strong
1002,football12399,medium
1003,9ULqYIHTa^vV!poeAlcR,strong
1004,computer20201,medium
1005,qwerty165,weak
1006,iloveu_x,medium
1007,baseball123x,medium
1008,football202099,medium
1009,iloveyou839,weak
1010,iloveyou863,weak
1011,computer1231,medium
1012,welcome337,weak
1013,iloveu!x,medium
1014,password111,weak
1015,flower_1,medium
1016,dragon956,weak
1017,flower$99,medium
1018,computer$x,medium
1019,iloveu$1,medium
1020,coffee_x,medium
1021,coffee!x,medium
1022,welcome198,weak
1023,password476,weak
1024,football!x,medium
1025,dA9qW0tfwP6izER-@o,strong
1026,flower12399,medium
1027,flower!99,medium
1028,sunshine913,weak
1029,J9(eNQZQbRz*8fl@z,strong
1030,monkey862,weak
1031,dragon398,weak
1032,123456885,weak
1033,computer$x,medium
1034,iloveyou88,weak
1035,letmein380,weak
1036,welcome221,weak
1037,baseball202099,medium
1038,purple!1,medium
1039,password818,weak
1040,monkey157,weak
1041,sunshine750,weak
1042,6k%!)Zk3I2Na(0Tg,strong
1043,password105,weak
1044,flower$1,medium
1045,computer!99,medium
1046,welcome283,weak
1047,purple123x,medium
1048,qwerty161,weak
1049,password981,weak
1050,iloveu20201,medium
1051,iloveu$99,medium
1052,welcome587,weak
1053,123456318,weak
1054,computer_99,medium
1055,password482,weak
1056,ieGnTT@1Ux!2,strong
1057,iloveu202099,medium
1058,football1231,medium
1059,sunshine481,weak
1060,letmein147,weak
1061,*D1Y7^IcKAJm6Tjh,strong
1062,purple202099,medium
1063,football$x,medium
1064,dragon423,weak
1065,letmein561,weak
1066,sunshine393,weak
1067,letmein833,weak
1068,coffee123x,medium
1069,iloveu!1,medium
1070,football_99,medium
1071,dragon474,weak
1072,123456841,weak
1073,welcome978,weak
1074,dragon111,weak
1075,iloveu12399,medium
1076,password92,weak
1077,qwerty908,weak
1078,purple20201,medium
1079,coffee_99,medium
1080,dragon457,weak
1081,admin306,weak
1082,flower$99,medium
1083,computer2020x,medium
1084,monkey413,weak
1085,purple$1,medium
1086,monkey991,weak
1087,monkey840,weak
1088,$$r1DyDCPYKoD,strong
1089,l+Ykfb2KH+gWFI7TGn,strong
1090,iloveu12399,medium
1091,qwerty434,weak
1092,iloveu123x,medium
1093,monkey275,weak
1094,monkey590,weak
1095,password581,weak
1096,admin115,weak
1097,flower20201,medium
1098,iloveu$99,medium
1099,iloveu_1,medium
1100,123456700,weak
1101,purple_99,medium
1102,computer_1,medium
1103,monkey927,weak
1104,admin431,weak
1105,welcome296,weak
1106,dragon767,weak
1107,dragon266,weak
1108,sunshine592,weak
1109,password672,weak
1110,vgM#vkv$binS,strong
1111,sunshine378,weak
1112,computer!99,medium
1113,monkey882,weak
1114,123456990,weak
1115,qwerty857,weak
1116,iloveyou788,weak
1117,sunshine743,weak
1118,baseball_x,medium
1119,football$1,medium
1120,sunshine408,weak
1121,sunshine764,weak
1122,rZDtOHv8DxO-hOA#UXuu,strong
1123,computer_99,medium
1124,letmein751,weak
1125,purple!x,medium
1126,qwerty320,weak
1127,flower20201,medium
1128,123456537,weak
1129,sunshine359,weak
1130,welcome257,weak
1131,password634,weak
1132,dragon672,weak
1133,-W1j$jX&R_&0tJ),strong
1134,computer123x,medium
1135,t7veD+t9nf=pDXiPG,strong
1136,football123x,medium
1137,password74,weak
1138,welcome795,weak
1139,sunshine152,weak
1140,football2020x,medium
1141,qwerty716,weak
1142,iloveyou588,weak
1143,sunshine489,weak
1144,123456553,weak
1145,iloveyou977,weak
1146,purple1231,medium
1147,computer$x,medium
1148,password647,weak
1149,B#z@5wpQ_YwDi,strong
1150,coffee2020x,medium
1151,letmein143,weak
1152,password737,weak
1153,LePxO@I+ce7di9Y,strong
1154,monkey152,weak
1155,baseball20201,medium
1156,coffee202099,medium
1157,sXbW&!hU@e!i,strong
1158,iloveu!1,medium
1159,coffee$x,medium
1160,computer2020x,medium
1161,baseball$1,medium
1162,iloveu!99,medium
